epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3172.17,0.62462,0.53443,1.06933,0.91254,0.77606,0.8851,0.6667,0.8931,0.65591,1.24959,0.000812,0.000812,0.000812
92,3199.91,0.6456,0.55881,1.07778,0.90618,0.82645,0.89081,0.67562,0.88681,0.63996,1.24775,0.0007988,0.0007988,0.0007988
93,3227.05,0.64074,0.53123,1.06957,0.87094,0.84711,0.90342,0.69723,0.87784,0.64909,1.22414,0.0007856,0.0007856,0.0007856
94,3254.72,0.63685,0.53811,1.07762,0.9032,0.78926,0.89092,0.68327,0.8883,0.6304,1.2363,0.0007724,0.0007724,0.0007724
95,3282.8,0.63384,0.53787,1.07062,0.87892,0.80165,0.88885,0.66686,0.90192,0.6609,1.23516,0.0007592,0.0007592,0.0007592
96,3310.94,0.63449,0.53507,1.07085,0.91472,0.79777,0.90016,0.67643,0.91157,0.62944,1.27091,0.000746,0.000746,0.000746
97,3338.57,0.62479,0.5191,1.06527,0.88116,0.80579,0.88697,0.67947,0.87645,0.64886,1.23192,0.0007328,0.0007328,0.0007328
98,3365.99,0.63659,0.55312,1.08437,0.90078,0.80992,0.89398,0.69388,0.87547,0.64263,1.23375,0.0007196,0.0007196,0.0007196
99,3393.65,0.63239,0.55111,1.07929,0.89121,0.83058,0.89531,0.67419,0.85621,0.62173,1.22572,0.0007064,0.0007064,0.0007064
100,3420.6,0.59624,0.49498,1.04638,0.86306,0.83884,0.90369,0.67802,0.893,0.65536,1.23858,0.0006932,0.0006932,0.0006932
101,3447.65,0.59856,0.5169,1.04428,0.88831,0.82159,0.89764,0.67898,0.87444,0.63888,1.23329,0.00068,0.00068,0.00068
102,3474.68,0.61568,0.53897,1.0562,0.90445,0.82231,0.89958,0.6912,0.86009,0.61971,1.23234,0.0006668,0.0006668,0.0006668
103,3501.76,0.60489,0.52566,1.04893,0.89155,0.8493,0.90089,0.68752,0.89848,0.60026,1.26399,0.0006536,0.0006536,0.0006536
104,3531.63,0.60657,0.52519,1.05679,0.88307,0.8595,0.90261,0.68838,0.87383,0.60757,1.23134,0.0006404,0.0006404,0.0006404
105,3557.63,0.62141,0.53271,1.06753,0.92401,0.82645,0.91116,0.68342,0.89337,0.60675,1.27244,0.0006272,0.0006272,0.0006272
106,3584.47,0.59106,0.50047,1.03953,0.87326,0.83058,0.90365,0.69541,0.88573,0.59626,1.25438,0.000614,0.000614,0.000614
107,3612.05,0.58544,0.49246,1.03931,0.87925,0.84298,0.90236,0.67867,0.87231,0.63526,1.23612,0.0006008,0.0006008,0.0006008
